checkpoint,iteration,target_step,nearest_success_step,success_rate,pregrasp_success_rate,pregrasp_hold_ready_rate,pregrasp_held_rate,stage2_alignment_ready_rate,stage3_insertion_ready_rate,stage3_touch_ready_rate,mean_pregrasp_distance,mean_touch_target_distance,mean_touch_error,mean_distance,mean_insertion_lateral_error,mean_alignment,mean_pregrasp_alignment,mean_insertion_alignment,mean_target_contact_penalty,mean_insertion_progress,mean_pregrasp_line_error,min_distance,mean_reward,path
model_800.pt,800,800,800,0.01123046875,0.659912109375,,,0.73291015625,0.014404296875,0.014404296875,0.14636477828025818,0.1455622911453247,0.12020038068294525,0.16020037233829498,0.12505316734313965,0.667926013469696,0.12840211391448975,0.667926013469696,0.0,0.5567837953567505,,0.05844040960073471,94.16410827636719,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_20-22-06/model_800.pt
model_850.pt,850,850,850,0.00048828125,0.952392578125,,,0.9794921875,0.00048828125,0.00048828125,0.0797659307718277,0.07252983748912811,0.046907998621463776,0.0869079977273941,0.07033456861972809,0.9075636863708496,-0.2278318703174591,0.9075636863708496,0.0,0.7951211929321289,,0.06931955367326736,2725.298095703125,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_20-22-06/model_850.pt
model_900.pt,900,900,900,0.0009765625,0.956298828125,,,0.9833984375,0.001220703125,0.001220703125,0.08102667331695557,0.07135292887687683,0.04335932061076164,0.08335932344198227,0.06964985281229019,0.9026340842247009,-0.26334550976753235,0.9026340842247009,0.0,0.864529013633728,,0.06297238171100616,2623.8818359375,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_20-22-06/model_900.pt
model_950.pt,950,950,950,0.001953125,0.945556640625,,,0.966552734375,0.001953125,0.001953125,0.08107223361730576,0.07437632977962494,0.049478404223918915,0.08947840332984924,0.07143083214759827,0.8892533183097839,-0.22886745631694794,0.8892533183097839,0.0,0.7780631184577942,,0.06721939146518707,2393.64697265625,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_20-22-06/model_950.pt
model_1000.pt,1000,1000,1000,0.00244140625,0.958984375,,,0.967041015625,0.00244140625,0.00244140625,0.08144216984510422,0.07349897176027298,0.04758811742067337,0.0875881165266037,0.07022060453891754,0.8989143371582031,-0.1929631531238556,0.8989143371582031,0.0,0.8239172697067261,,0.06447407603263855,2641.45166015625,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_20-22-06/model_1000.pt
model_1050.pt,1050,1050,1050,0.000244140625,0.937744140625,,,0.9814453125,0.000244140625,0.000244140625,0.08082356303930283,0.07281119376420975,0.04634757339954376,0.08634757250547409,0.07087884843349457,0.9139882922172546,-0.21015477180480957,0.9139882922172546,0.0,0.8121789693832397,,0.06464511901140213,2806.425537109375,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_20-22-06/model_1050.pt
model_1100.pt,1100,1100,1100,0.000732421875,0.9453125,,,0.9638671875,0.000732421875,0.000732421875,0.08492515236139297,0.07443078607320786,0.04589550942182541,0.08589551597833633,0.07138674706220627,0.8878617286682129,-0.2072211503982544,0.8878617286682129,0.0,0.9054338335990906,,0.06385277211666107,2649.421142578125,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_20-22-06/model_1100.pt
model_1150.pt,1150,1150,1150,0.000244140625,0.9189453125,,,0.970947265625,0.000244140625,0.000244140625,0.08374780416488647,0.07596796751022339,0.04964267089962959,0.08964266628026962,0.07303950190544128,0.8820264339447021,-0.26015704870224,0.8820264339447021,0.0,0.8065804243087769,,0.06750264763832092,2676.266845703125,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_20-22-06/model_1150.pt
model_1200.pt,1200,1200,1200,0.00048828125,0.923095703125,,,0.965087890625,0.00048828125,0.00048828125,0.08582030236721039,0.07576614618301392,0.04746432602405548,0.08746431767940521,0.07259806245565414,0.8800427913665771,-0.25753650069236755,0.8800427913665771,0.0,0.8892707824707031,,0.06580840051174164,2836.990966796875,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_20-22-06/model_1200.pt
model_1250.pt,1250,1250,1250,0.00048828125,0.96435546875,,,0.98876953125,0.00048828125,0.00048828125,0.07723021507263184,0.06797358393669128,0.04125511646270752,0.08125511556863785,0.06663113087415695,0.8985528945922852,-0.28751009702682495,0.8985528945922852,0.0,0.8688724637031555,,0.06698405742645264,2572.4814453125,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_20-22-06/model_1250.pt
model_1299.pt,1299,1299,1299,0.0009765625,0.968505859375,,,0.987548828125,0.0009765625,0.0009765625,0.07679550349712372,0.06752066314220428,0.040830716490745544,0.08083072304725647,0.0661729946732521,0.8924163579940796,-0.29227370023727417,0.8924163579940796,0.0,0.865070641040802,,0.06764471530914307,2988.471435546875,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_20-22-06/model_1299.pt
